id,GridID,X_coord,Y_coord
1692,2035,1758870,5918750
1771,2036,1759370,5918750
1850,2037,1759870,5918750
1929,2038,1760370,5918750
2008,2039,1760870,5918750
2087,2040,1761370,5918750
2166,2041,1761870,5918750
2245,2042,1762370,5918750
2324,2043,1762870,5918750
2403,2044,1763370,5918750
2482,2045,1763870,5918750
2561,2046,1764370,5918750
2640,2047,1764870,5918750
2719,2048,1765370,5918750
2798,2049,1765870,5918750
2877,2050,1766370,5918750
2956,2051,1766870,5918750
3035,2052,1767370,5918750
3351,2056,1769370,5918750
822,2077,1753370,5919250
901,2078,1753870,5919250
980,2079,1754370,5919250
1059,2080,1754870,5919250
1138,2081,1755370,5919250
1217,2082,1755870,5919250
1296,2083,1756370,5919250
1375,2084,1756870,5919250
1454,2085,1757370,5919250
1533,2086,1757870,5919250
1612,2087,1758370,5919250
1691,2088,1758870,5919250
1770,2089,1759370,5919250
2086,2093,1761370,5919250
2165,2094,1761870,5919250
2244,2095,1762370,5919250
2323,2096,1762870,5919250
2402,2097,1763370,5919250
2481,2098,1763870,5919250
2560,2099,1764370,5919250
2639,2100,1764870,5919250
2718,2101,1765370,5919250
2797,2102,1765870,5919250
2876,2103,1766370,5919250
2955,2104,1766870,5919250
3034,2105,1767370,5919250
821,2129,1753370,5919750
900,2130,1753870,5919750
979,2131,1754370,5919750
1058,2132,1754870,5919750
1137,2133,1755370,5919750
1216,2134,1755870,5919750
1295,2135,1756370,5919750
1374,2136,1756870,5919750
1453,2137,1757370,5919750
1532,2138,1757870,5919750
1611,2139,1758370,5919750
1690,2140,1758870,5919750
1769,2141,1759370,5919750
1927,2143,1760370,5919750
2085,2145,1761370,5919750
2164,2146,1761870,5919750
2243,2147,1762370,5919750
2322,2148,1762870,5919750
2401,2149,1763370,5919750
2480,2150,1763870,5919750
2559,2151,1764370,5919750
2638,2152,1764870,5919750
2717,2153,1765370,5919750
2796,2154,1765870,5919750
2875,2155,1766370,5919750
2954,2156,1766870,5919750
3033,2157,1767370,5919750
3349,2161,1769370,5919750
820,2180,1753370,5920250
899,2181,1753870,5920250
978,2182,1754370,5920250
1057,2183,1754870,5920250
1136,2184,1755370,5920250
1215,2185,1755870,5920250
1294,2186,1756370,5920250
1373,2187,1756870,5920250
1452,2188,1757370,5920250
1531,2189,1757870,5920250
1610,2190,1758370,5920250
1689,2191,1758870,5920250
1768,2192,1759370,5920250
2084,2196,1761370,5920250
2242,2198,1762370,5920250
2321,2199,1762870,5920250
2400,2200,1763370,5920250
2479,2201,1763870,5920250
2795,2205,1765870,5920250
2874,2206,1766370,5920250
2953,2207,1766870,5920250
898,2232,1753870,5920750
977,2233,1754370,5920750
1056,2234,1754870,5920750
1135,2235,1755370,5920750
1214,2236,1755870,5920750
1293,2237,1756370,5920750
1372,2238,1756870,5920750
1451,2239,1757370,5920750
1530,2240,1757870,5920750
1609,2241,1758370,5920750
1688,2242,1758870,5920750
1767,2243,1759370,5920750
976,2284,1754370,5921250
1055,2285,1754870,5921250
1134,2286,1755370,5921250
1292,2288,1756370,5921250
1450,2290,1757370,5921250
1133,2337,1755370,5921750
1370,2340,1756870,5921750
3266,2364,1768870,5921750
3265,2414,1768870,5922250
1605,2442,1758370,5922750
1763,2444,1759370,5922750
1842,2445,1759870,5922750
1921,2446,1760370,5922750
2000,2447,1760870,5922750
2079,2448,1761370,5922750
1209,2486,1755870,5923250
1683,2492,1758870,5923250
1762,2493,1759370,5923250
1841,2494,1759870,5923250
1920,2495,1760370,5923250
1999,2496,1760870,5923250
1050,2532,1754870,5923750
1208,2534,1755870,5923750
1761,2541,1759370,5923750
1840,2542,1759870,5923750
1919,2543,1760370,5923750
